ID Year,Year,Admissions Total,Applicants Total,University,ID University,Slug University,Acceptance Rate
2022,"2022",859989,1509723,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.5696336347793601
2022,"2022",485125,1014738,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.4780790706566621
2022,"2022",85,91,"Herzing University-Atlanta","140340","herzing-university-atlanta",0.9340659340659341
2022,"2022",1119,1490,"Cazenovia College","189848","cazenovia-college",0.751006711409396
2022,"2022",1293,1354,"Hilbert College","191621","hilbert-college",0.9549483013293943
2022,"2022",3219,3994,"Willamette University","210401","willamette-university",0.8059589384076115
2022,"2022",241,709,"Central Penn College","211477","central-penn-college",0.33991537376586745
2022,"2022",2217,2319,"University of Wisconsin-Superior","240426","university-of-wisconsin-superior",0.9560155239327296
2021,"2021",779491,1376856,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.5661383616006321
2021,"2021",464696,944985,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.4917496044910766
2021,"2021",69,73,"Herzing University-Atlanta","140340","herzing-university-atlanta",0.9452054794520548
2021,"2021",1146,1695,"Cazenovia College","189848","cazenovia-college",0.6761061946902654
2021,"2021",969,1046,"Hilbert College","191621","hilbert-college",0.9263862332695985
2021,"2021",2930,3680,"Willamette University","210401","willamette-university",0.7961956521739131
2021,"2021",219,247,"Central Penn College","211477","central-penn-college",0.8866396761133604
2021,"2021",1376,1805,"University of Wisconsin-Superior","240426","university-of-wisconsin-superior",0.7623268698060942
2020,"2020",778747,1373662,"Baccalaureate Colleges","BAC","baccalaureate-colleges",0.5669131125415131
2020,"2020",457633,900047,"Baccalaureate Colleges: Arts & Sciences Focus","21","baccalaureate-colleges-arts-sciences-focus",0.5084545584841681
2020,"2020",86,93,"Herzing University-Atlanta","140340","herzing-university-atlanta",0.9247311827956989
2020,"2020",1619,2243,"Cazenovia College","189848","cazenovia-college",0.7218011591618368
2020,"2020",996,1086,"Hilbert College","191621","hilbert-college",0.9171270718232044
2020,"2020",3215,4010,"Willamette University","210401","willamette-university",0.8017456359102244
2020,"2020",227,274,"Central Penn College","211477","central-penn-college",0.8284671532846716
2020,"2020",919,1067,"University of Wisconsin-Superior","240426","university-of-wisconsin-superior",0.8612933458294283
